Year;Bank;Mussel;FA
2004;korg;53;80
2004;korg;98;7
2004;korg;66;56
2004;korg;76;35
2004;korg;54;28
2004;korg;62;28
2004;korg;80;67
2004;korg;89;43
2004;korg;99;48
2004;mat;100;1
2004;mat;93;2
2004;mat;93;7
2004;mat;98;1
2004;mat;99;4
2004;mat;95;30
2004;mat;95;8
2004;mat;54;6
2004;vor2;27;54
2004;vor2;15;94
2004;vor2;56;65
2004;vor2;45;73
2004;vor2;40;71
2004;vor2;23;93
2004;vor2;82;61
2004;vor2;69;60
2004;vor2;76;35
2004;vor2;92;41
2004;vor2;93;11
2004;vor3;66;15
2004;vor3;11;30
2004;vor3;36;35
2004;vor3;77;15
2004;vor3;28;3
2004;vor3;69;6
2004;vor3;62;60
2004;vor3;88;16
2004;vor3;33;72
2004;vor3;85;25
2004;vor3;8;87
2004;vor4;93;52
2004;vor4;57;46
2004;vor4;78;32
2004;vor4;100;0
2004;vor4;37;71
2004;vor4;38;60
2004;vor4;92;55
2004;vor4;98;6
2004;vor4;86;25
2004;vor5;100;5
2004;vor5;7;93
2004;vor5;100;0
2004;vor5;99;5
2004;vor5;93;14
2004;vor5;92;14
2004;vor5;83;22
2004;vor5;51;74
2004;vor5;30;74
2004;vor5;17;72
2005;korg;87;28
2005;korg;83;42
2005;korg;80;15
2005;korg;72;45
2005;korg;82;53
2005;korg;95;31
2005;korg;81;8
2005;korg;39;63
2005;korg;100;0
2005;korg;91;30
2005;mat;100;0
2005;mat;85;1
2005;mat;100;0
2005;mat;100;6
2005;mat;100;22
2005;mat;100;1
2005;mat;99;5
2005;mat;96;16
2005;mat;100;0
2005;mat;100;0
2005;vor2;3;90
2005;vor2;77;44
2005;vor2;58;74
2005;vor2;46;71
2005;vor2;64;45
2005;vor2;48;69
2005;vor2;94;16
2005;vor2;92;21
2005;vor2;95;11
2005;vor2;60;54
2005;vor3;8;86
2005;vor3;74;33
2005;vor3;79;12
2005;vor3;81;36
2005;vor3;48;44
2005;vor3;22;35
2005;vor3;21;68
2005;vor3;85;14
2005;vor3;85;7
2005;vor3;67;26
2005;vor4;71;34
2005;vor4;100;7
2005;vor4;96;31
2005;vor4;99;18
2005;vor4;99;9
2005;vor4;90;3
2005;vor4;100;1
2005;vor4;94;5
2005;vor4;98;9
2005;vor4;79;85
2005;vor4;99;0
2005;vor4;97;11
2005;vor5;85;23
2005;vor5;44;53
2005;vor5;72;36
2005;vor5;78;33
2005;vor5;75;65
2005;vor5;92;4
2005;vor5;72;68
2005;vor5;24;75
2005;vor5;100;0
2005;vor5;42;65
2006;korg;34;12
2006;korg;0;68
2006;korg;62;32
2006;korg;90;29
2006;korg;90;23
2006;korg;5;29
2006;korg;44;19
2006;korg;55;37
2006;korg;84;4
2006;korg;38;49
2006;korg;39;27
2006;korg;100;8
2006;korg;56;72
2006;korg;19;49
2006;korg;65;33
2006;korg;75;26
2006;mat;100;12
2006;mat;97;29
2006;mat;82;53
2006;mat;92;21
2006;mat;100;21
2006;mat;98;9
2006;mat;100;9
2006;mat;97;20
2006;mat;100;15
2006;mat;100;22
2006;mat;58;86
2006;mat;100;22
2006;mat;100;13
2006;mat;100;40
2006;mat;90;31
2006;mat;93;5
2006;vor2;52;55
2006;vor2;23;78
2006;vor2;5;83
2006;vor2;21;75
2006;vor2;64;65
2006;vor2;100;14
2006;vor2;74;43
2006;vor2;24;71
2006;vor2;19;62
2006;vor2;95;19
2006;vor2;42;68
2006;vor2;27;85
2006;vor2;20;71
2006;vor2;36;69
2006;vor2;9;86
2006;vor2;60;60
2006;vor3;7;3
2006;vor3;42;42
2006;vor3;14;58
2006;vor3;37;17
2006;vor3;37;3
2006;vor3;69;14
2006;vor3;31;53
2006;vor3;73;27
2006;vor3;16;32
2006;vor3;99;24
2006;vor4;30;48
2006;vor4;32;57
2006;vor4;43;42
2006;vor4;98;5
2006;vor4;70;62
2006;vor4;72;26
2006;vor4;39;44
2006;vor4;39;42
2006;vor4;90;38
2006;vor4;100;3
2006;vor4;24;73
2006;vor4;0;33
2006;vor4;8;25
2006;vor4;9;62
2006;vor4;17;81
2006;vor4;13;67
2006;vor5;61;48
2006;vor5;98;14
2006;vor5;89;48
2006;vor5;89;14
2006;vor5;70;27
2006;vor5;55;46
2006;vor5;25;68
2006;vor5;74;43
2006;vor5;77;22
2006;vor5;50;44
2006;vor5;85;16
2006;vor5;78;32
2006;vor5;22;80
2006;vor5;94;6
2006;vor5;84;29
2006;vor5;64;60
2007;korg;65;73
2007;korg;90;29
2007;korg;100;11
2007;korg;84;16
2007;korg;66;13
2007;korg;100;3
2007;korg;43;37
2007;korg;2;78
2007;korg;12;54
2007;korg;95;14
2007;korg;66;46
2007;korg;17;77
2007;korg;87;42
2007;korg;53;54
2007;korg;11;76
2007;mat;99;30
2007;mat;97;33
2007;mat;100;2
2007;mat;100;1
2007;mat;100;1
2007;mat;92;26
2007;mat;59;11
2007;mat;100;8
2007;mat;100;0
2007;mat;100;1
2007;vor2;25;74
2007;vor2;6;75
2007;vor2;42;66
2007;vor2;86;32
2007;vor2;6;86
2007;vor2;80;43
2007;vor2;23;53
2007;vor2;100;1
2007;vor2;5;86
2007;vor2;89;52
2007;vor2;66;53
2007;vor2;48;59
2007;vor2;9;52
2007;vor2;11;47
2007;vor2;34;60
2007;vor4;23;60
2007;vor4;48;44
2007;vor4;7;72
2007;vor4;92;56
2007;vor4;59;51
2007;vor4;1;80
2007;vor4;27;58
2007;vor4;15;54
2007;vor4;15;79
2007;vor4;6;67
2007;vor4;6;87
2007;vor4;10;92
2007;vor4;13;35
2007;vor4;58;65
2007;vor4;1;78
2007;vor5;99;7
2007;vor5;100;9
2007;vor5;79;38
2007;vor5;71;45
2007;vor5;53;68
2007;vor5;29;58
2007;vor5;98;17
2007;vor5;83;24
2007;vor5;88;26
2007;vor5;71;53
2008;korg;79;20
2008;korg;96;35
2008;korg;93;2
2008;korg;95;29
2008;korg;72;15
2008;korg;61;8
2008;korg;94;4
2008;korg;88;37
2008;korg;100;14
2008;korg;75;18
2008;korg;57;31
2008;korg;37;71
2008;korg;41;31
2008;mat;100;14
2008;mat;88;18
2008;mat;100;4
2008;mat;100;19
2008;mat;68;32
2008;mat;100;4
2008;mat;92;5
2008;mat;99;7
2008;mat;100;2
2008;mat;100;1
2008;vor2;43;33
2008;vor2;59;34
2008;vor2;36;6
2008;vor2;83;8
2008;vor2;85;24
2008;vor2;41;51
2008;vor2;29;61
2008;vor2;18;58
2008;vor2;93;7
2008;vor2;46;49
2008;vor2;33;30
2008;vor2;79;37
2008;vor2;7;50
2008;vor2;4;74
2008;vor2;20;55
2008;vor2;57;45
2008;vor2;78;14
2008;vor2;64;27
2008;vor2;7;70
2008;vor2;15;66
2008;vor4;65;72
2008;vor4;94;16
2008;vor4;48;78
2008;vor4;79;41
2008;vor4;70;18
2008;vor4;78;11
2008;vor4;95;6
2008;vor4;92;9
2008;vor4;100;6
2008;vor4;91;26
2008;vor4;92;36
2008;vor4;98;18
2008;vor4;91;30
2008;vor4;97;9
2008;vor4;10;11
2008;vor5;100;43
2008;vor5;98;3
2008;vor5;92;7
2008;vor5;61;14
2008;vor5;91;4
2008;vor5;100;1
2008;vor5;99;3
2008;vor5;100;0
2008;vor5;59;21
2008;vor5;44;36
2009;korg;100;9
2009;korg;100;2
2009;korg;100;25
2009;korg;98;15
2009;korg;99;3
2009;korg;71;27
2009;korg;62;34
2009;korg;78;20
2009;korg;90;8
2009;korg;98;8
2009;korg;86;2
2009;korg;84;27
2009;korg;88;1
2009;korg;100;6
2009;korg;70;3
2009;korg;100;2
2009;korg;75;25
2009;korg;67;74
2009;korg;100;0
2009;korg;87;24
2009;mat;100;5
2009;mat;97;5
2009;mat;71;23
2009;mat;94;41
2009;mat;100;59
2009;mat;100;15
2009;mat;34;10
2009;mat;100;0
2009;mat;100;0
2009;mat;100;0
2009;mat;64;19
2009;mat;99;19
2009;mat;100;13
2009;mat;100;13
2009;mat;100;0
2009;mat;100;6
2009;mat;100;7
2009;mat;100;4
2009;mat;47;18
2009;mat;100;0
2009;vor2;100;19
2009;vor2;14;62
2009;vor2;99;8
2009;vor2;68;71
2009;vor2;65;26
2009;vor2;74;42
2009;vor2;16;57
2009;vor2;98;7
2009;vor2;31;7
2009;vor2;38;67
2009;vor2;97;5
2009;vor2;41;58
2009;vor2;29;62
2009;vor2;51;51
2009;vor2;43;47
2009;vor2;37;59
2009;vor2;93;50
2009;vor2;18;20
2009;vor2;55;68
2009;vor2;24;38
2009;vor4;4;66
2009;vor4;27;34
2009;vor4;65;11
2009;vor4;48;56
2009;vor4;58;31
2009;vor4;83;0
2009;vor4;98;17
2009;vor4;99;0
2009;vor4;26;38
2009;vor4;90;62
2009;vor4;96;48
2009;vor4;95;18
2009;vor5;76;15
2009;vor5;46;59
2009;vor5;100;8
2009;vor5;42;40
2009;vor5;98;15
2009;vor5;97;0
2009;vor5;88;11
2009;vor5;91;15
2009;vor5;91;22
2009;vor5;100;0
2009;vor5;98;61
2009;vor5;90;0
2009;vor5;98;2
2009;vor5;31;58
2009;vor5;51;50
2009;vor5;16;70
2009;vor5;89;49
2009;vor5;78;42
2009;vor5;91;37
2009;vor5;100;0
2010;korg;28;49
2010;korg;96;7
2010;korg;93;23
2010;korg;31;55
2010;korg;99;1
2010;korg;94;4
2010;korg;88;17
2010;korg;98;49
2010;korg;71;17
2010;korg;100;17
2010;korg;99;31
2010;korg;97;8
2010;korg;100;20
2010;korg;96;8
2010;korg;100;0
2010;korg;71;12
2010;korg;100;6
2010;korg;82;19
2010;korg;25;14
2010;korg;99;16
2010;korg;100;3
2010;korg;100;2
2010;mat;1;12
2010;mat;3;57
2010;mat;6;18
2010;mat;7;54
2010;mat;20;49
2010;mat;84;6
2010;mat;97;31
2010;mat;0;1
2010;mat;2;0
2010;mat;29;13
2010;mat;21;29
2010;mat;100;3
2010;mat;23;37
2010;mat;4;0
2010;mat;4;17
2010;mat;0;0
2010;mat;27;1
2010;mat;100;13
2010;mat;100;0
2010;vor2;76;8
2010;vor2;93;34
2010;vor2;77;25
2010;vor2;35;43
2010;vor2;51;20
2010;vor2;53;27
2010;vor2;72;47
2010;vor2;67;53
2010;vor2;56;74
2010;vor2;64;54
2010;vor2;59;62
2010;vor2;12;61
2010;vor2;75;36
2010;vor2;46;65
2010;vor2;51;65
2010;vor2;50;48
2010;vor2;52;72
2010;vor2;32;44
2010;vor2;57;70
2010;vor2;86;33
2010;vor4;24;7
2010;vor4;1;59
2010;vor4;50;14
2010;vor4;24;24
2010;vor4;43;29
2010;vor4;10;46
2010;vor4;2;10
2010;vor4;44;17
2010;vor4;75;2
2010;vor4;22;30
2010;vor4;39;41
2010;vor4;35;19
2010;vor4;39;23
2010;vor4;53;4
2010;vor4;15;45
2010;vor4;84;7
2010;vor4;78;17
2010;vor4;30;51
2010;vor4;17;33
2010;vor4;19;37
2010;vor5;64;21
2010;vor5;50;49
2010;vor5;35;66
2010;vor5;32;39
2010;vor5;15;50
2010;vor5;69;46
2010;vor5;75;28
2010;vor5;42;68
2010;vor5;92;9
2010;vor5;14;72
2010;vor5;38;60
2010;vor5;83;22
2010;vor5;98;4
2010;vor5;98;3
2010;vor5;95;8
2010;vor5;81;24
2010;vor5;12;51
2010;vor5;56;65
2010;vor5;5;86
2010;vor5;22;57
2011;korg;79;44
2011;korg;64;53
2011;korg;100;4
2011;korg;95;17
2011;korg;87;36
2011;korg;96;11
2011;korg;100;3
2011;korg;93;5
2011;korg;95;21
2011;korg;85;12
2011;korg;68;39
2011;korg;95;4
2011;korg;75;21
2011;korg;90;29
2011;korg;96;12
2011;korg;100;2
2011;korg;96;8
2011;korg;17;83
2011;korg;97;10
2011;korg;94;11
2011;mat;96;8
2011;mat;13;36
2011;mat;11;66
2011;mat;17;18
2011;mat;37;8
2011;mat;11;32
2011;mat;100;2
2011;mat;51;22
2011;mat;9;46
2011;mat;2;64
2011;mat;100;3
2011;mat;69;28
2011;mat;21;50
2011;mat;100;4
2011;mat;99;7
2011;mat;100;11
2011;mat;7;64
2011;mat;3;42
2011;mat;76;34
2011;mat;100;5
2011;vor2;8;65
2011;vor2;8;49
2011;vor2;70;40
2011;vor2;27;42
2011;vor2;100;0
2011;vor2;0;68
2011;vor2;0;66
2011;vor2;26;43
2011;vor2;28;37
2011;vor2;53;31
2011;vor2;27;44
2011;vor2;3;47
2011;vor2;17;64
2011;vor2;16;54
2011;vor2;0;48
2011;vor2;36;51
2011;vor2;29;25
2011;vor2;0;68
2011;vor2;0;3
2011;vor2;11;19
2011;vor4;96;30
2011;vor4;82;32
2011;vor4;80;5
2011;vor4;51;29
2011;vor4;75;30
2011;vor4;93;27
2011;vor4;78;21
2011;vor4;88;19
2011;vor4;22;66
2011;vor4;6;10
2011;vor4;79;19
2011;vor4;33;52
2011;vor4;33;57
2011;vor4;60;74
2011;vor4;20;11
2011;vor4;97;58
2011;vor4;91;7
2011;vor4;35;45
2011;vor4;53;45
2011;vor4;88;38
2011;vor4;63;8
2011;vor5;64;2
2011;vor5;79;19
2011;vor5;41;56
2011;vor5;74;30
2011;vor5;40;28
2011;vor5;21;54
2011;vor5;83;31
2011;vor5;26;26
2011;vor5;80;24
2011;vor5;12;48
2011;vor5;34;47
2011;vor5;27;57
2011;vor5;9;73
2011;vor5;20;65
2011;vor5;96;18
2011;vor5;78;33
2011;vor5;70;36
2011;vor5;15;58
2011;vor5;24;42
2012;korg;54;28
2012;korg;14;59
2012;korg;80;38
2012;korg;50;13
2012;korg;98;3
2012;korg;84;17
2012;korg;14;56
2012;korg;68;1
2012;korg;97;12
2012;korg;95;6
2012;korg;15;66
2012;korg;74;9
2012;korg;26;56
2012;korg;87;11
2012;korg;13;39
2012;korg;16;49
2012;korg;100;1
2012;korg;96;5
2012;korg;2;67
2012;korg;8;48
2012;mat;100;8
2012;mat;65;38
2012;mat;93;11
2012;mat;99;14
2012;mat;85;20
2012;mat;100;22
2012;mat;100;21
2012;mat;30;34
2012;mat;1;72
2012;mat;93;5
2012;mat;0;60
2012;mat;27;24
2012;mat;89;20
2012;mat;97;33
2012;mat;98;12
2012;mat;29;53
2012;mat;71;25
2012;mat;64;3
2012;mat;91;46
2012;mat;45;45
2012;vor2;84;44
2012;vor2;79;27
2012;vor2;50;26
2012;vor2;99;10
2012;vor2;35;28
2012;vor2;20;54
2012;vor2;44;29
2012;vor2;2;52
2012;vor2;20;50
2012;vor2;88;29
2012;vor2;77;35
2012;vor2;68;62
2012;vor2;79;55
2012;vor2;2;65
2012;vor2;8;33
2012;vor2;8;71
2012;vor2;25;52
2012;vor2;65;13
2012;vor2;15;47
2012;vor2;17;40
2012;vor4;16;24
2012;vor4;18;30
2012;vor4;60;22
2012;vor4;8;15
2012;vor4;32;20
2012;vor4;25;32
2012;vor4;75;21
2012;vor4;52;27
2012;vor4;62;22
2012;vor4;66;24
2012;vor4;83;14
2012;vor4;88;11
2012;vor4;77;21
2012;vor4;100;15
2012;vor4;84;2
2012;vor4;73;18
2012;vor4;63;13
2012;vor4;66;15
2012;vor4;95;35
2012;vor4;34;59
2012;vor5;89;19
2012;vor5;92;25
2012;vor5;77;13
2012;vor5;77;20
2012;vor5;97;25
2012;vor5;51;35
2012;vor5;83;27
2012;vor5;56;27
2012;vor5;62;31
2012;vor5;68;27
2012;vor5;99;4
2012;vor5;71;3
2012;vor5;45;32
2012;vor5;97;2
2012;vor5;82;31
2012;vor5;76;21
2012;vor5;72;27
2012;vor5;89;18
2012;vor5;88;35
2012;vor5;40;26
2013;korg;79;23
2013;korg;5;34
2013;korg;47;15
2013;korg;61;11
2013;korg;50;26
2013;korg;92;20
2013;korg;51;23
2013;korg;88;23
2013;korg;79;18
2013;korg;48;20
2013;korg;9;56
2013;korg;99;2
2013;korg;16;31
2013;korg;10;21
2013;korg;87;23
2013;korg;43;19
2013;korg;100;7
2013;korg;68;19
2013;korg;100;7
2013;korg;8;25
2013;mat;10;11
2013;mat;36;29
2013;mat;99;30
2013;mat;62;20
2013;mat;0;10
2013;mat;21;29
2013;mat;20;26
2013;mat;15;20
2013;mat;2;58
2013;mat;7;41
2013;mat;0;29
2013;mat;48;22
2013;mat;29;2
2013;mat;95;39
2013;mat;6;15
2013;mat;62;3
2013;mat;100;8
2013;mat;81;36
2013;mat;33;24
2013;mat;0;1
2013;vor2;47;45
2013;vor2;47;41
2013;vor2;59;33
2013;vor2;26;69
2013;vor2;28;60
2013;vor2;0;77
2013;vor2;4;73
2013;vor2;5;72
2013;vor2;5;76
2013;vor2;11;68
2013;vor2;0;72
2013;vor2;0;75
2013;vor2;0;69
2013;vor2;1;75
2013;vor2;44;29
2013;vor2;0;71
2013;vor2;0;56
2013;vor2;14;47
2013;vor2;0;55
2013;vor2;0;71
2013;vor4;8;77
2013;vor4;0;70
2013;vor4;11;32
2013;vor4;0;63
2013;vor4;0;50
2013;vor4;0;13
2013;vor4;0;75
2013;vor4;2;20
2013;vor4;0;22
2013;vor4;4;47
2013;vor4;45;40
2013;vor4;0;77
2013;vor4;2;56
2013;vor4;0;48
2013;vor4;8;55
2013;vor4;16;75
2013;vor4;35;57
2013;vor4;11;75
2013;vor4;2;76
2013;vor4;7;70
2013;vor5;78;18
2013;vor5;89;16
2013;vor5;80;14
2013;vor5;70;13
2013;vor5;80;2
2013;vor5;92;17
2013;vor5;88;19
2013;vor5;21;58
2013;vor5;28;39
2013;vor5;10;28
2013;vor5;41;17
2013;vor5;87;10
2013;vor5;85;15
2013;vor5;82;22
2013;vor5;65;14
2013;vor5;66;26
2013;vor5;77;7
2013;vor5;25;24
2013;vor5;7;30
2013;vor5;14;20
2014;korg;17;16
2014;korg;0;75
2014;korg;26;82
2014;korg;9;83
2014;korg;1;88
2014;korg;47;50
2014;korg;20;43
2014;korg;76;79
2014;korg;17;11
2014;korg;82;77
2014;korg;5;14
2014;korg;97;22
2014;korg;14;2
2014;korg;34;72
2014;korg;93;54
2014;korg;58;8
2014;korg;71;15
2014;korg;20;28
2014;korg;78;91
2014;korg;80;23
2014;mat;1;91
2014;mat;11;85
2014;mat;54;15
2014;mat;15;76
2014;mat;97;14
2014;mat;75;12
2014;mat;9;86
2014;mat;75;32
2014;mat;0;72
2014;mat;7;64
2014;mat;4;53
2014;mat;2;39
2014;mat;10;81
2014;mat;12;60
2014;mat;8;34
2014;mat;17;66
2014;mat;36;71
2014;mat;82;30
2014;mat;15;70
2014;mat;51;57
2014;vor2;18;43
2014;vor2;32;35
2014;vor2;28;45
2014;vor2;29;40
2014;vor2;65;11
2014;vor2;25;60
2014;vor2;16;66
2014;vor2;24;60
2014;vor2;69;77
2014;vor2;9;59
2014;vor2;13;68
2014;vor2;44;6
2014;vor2;31;39
2014;vor2;5;77
2014;vor2;6;78
2014;vor2;5;74
2014;vor2;7;71
2014;vor2;3;2
2014;vor2;5;2
2014;vor2;21;54
2014;vor4;14;6
2014;vor4;10;58
2014;vor4;26;51
2014;vor4;21;52
2014;vor4;66;4
2014;vor4;53;33
2014;vor4;55;35
2014;vor4;35;19
2014;vor4;46;8
2014;vor4;11;40
2014;vor4;88;3
2014;vor4;20;41
2014;vor4;21;59
2014;vor4;35;48
2014;vor4;50;12
2014;vor4;42;42
2014;vor4;26;48
2014;vor4;15;28
2014;vor4;23;61
2014;vor4;51;37
2014;vor5;27;73
2014;vor5;39;76
2014;vor5;47;59
2014;vor5;72;15
2014;vor5;62;29
2014;vor5;92;12
2014;vor5;37;54
2014;vor5;64;65
2014;vor5;23;74
2014;vor5;53;62
2014;vor5;23;72
2014;vor5;65;29
2014;vor5;46;55
2014;vor5;18;44
2014;vor5;90;81
2014;vor5;52;7
2014;vor5;38;78
2015;vor5;54;66
2015;vor5;47;58
2015;vor5;38;64
2015;korg;88;14
2015;korg;72;73
2015;korg;0;34
2015;korg;65;49
2015;korg;32;52
2015;korg;9;49
2015;korg;100;0
2015;korg;96;18
2015;korg;4;20
2015;korg;96;5
2015;korg;67;20
2015;korg;84;5
2015;korg;3;27
2015;korg;82;21
2015;korg;87;93
2015;korg;16;90
2015;korg;4;34
2015;korg;77;61
2015;korg;0;1
2015;korg;3;44
2015;mat;100;0
2015;mat;63;18
2015;mat;1;7
2015;mat;13;16
2015;mat;94;10
2015;mat;18;43
2015;mat;92;19
2015;mat;84;30
2015;mat;88;5
2015;mat;67;27
2015;mat;78;28
2015;mat;16;37
2015;mat;29;70
2015;mat;65;66
2015;mat;5;47
2015;mat;9;1
2015;mat;91;5
2015;mat;100;0
2015;mat;53;83
2015;mat;91;13
2015;vor2;11;50
2015;vor2;0;31
2015;vor2;79;28
2015;vor2;77;27
2015;vor2;34;42
2015;vor2;39;55
2015;vor2;89;22
2015;vor2;25;47
2015;vor2;0;67
2015;vor2;56;55
2015;vor2;29;47
2015;vor2;4;80
2015;vor2;3;72
2015;vor2;18;56
2015;vor2;20;65
2015;vor2;0;53
2015;vor2;4;51
2015;vor2;12;48
2015;vor2;4;52
2015;vor2;12;36
2015;vor4;19;6
2015;vor4;44;58
2015;vor4;38;51
2015;vor4;19;52
2015;vor4;67;4
2015;vor4;49;67
2015;vor4;84;35
2015;vor4;68;19
2015;vor4;22;8
2015;vor4;80;40
2015;vor4;98;3
2015;vor4;63;41
2015;vor4;53;59
2015;vor4;97;48
2015;vor4;87;12
2015;vor4;50;42
2015;vor4;69;48
2015;vor4;36;28
2015;vor4;22;61
2015;vor4;14;37
2015;vor5;66;36
2015;vor5;57;24
2015;vor5;33;20
2015;vor5;85;68
2015;vor5;96;6
2015;vor5;35;71
2015;vor5;82;6
2015;vor5;89;15
2015;vor5;58;4
2015;vor5;69;20
2015;vor5;84;2
2015;vor5;77;6
2015;vor5;93;2
2015;vor5;100;1
2015;vor5;94;0
2015;vor5;87;3
2015;vor5;40;6
2015;vor5;24;38
2015;vor5;99;1
2015;vor5;41;3
2016;korg;0;65
2016;korg;15;56
2016;korg;55;45
2016;korg;9;64
2016;korg;72;32
2016;korg;41;17
2016;korg;50;34
2016;korg;12;66
2016;korg;36;50
2016;korg;1;65
2016;korg;23;12
2016;korg;0;58
2016;korg;15;62
2016;korg;12;59
2016;korg;10;44
2016;korg;93;8
2016;korg;23;27
2016;korg;3;45
2016;korg;14;47
2016;korg;9;55
2016;korg;0;12
2016;korg;9;52
2016;korg;37;18
2016;korg;25;60
2016;mat;0;37
2016;mat;69;33
2016;mat;67;27
2016;mat;17;38
2016;mat;80;13
2016;mat;13;62
2016;mat;54;16
2016;mat;8;14
2016;mat;28;52
2016;mat;16;31
2016;mat;23;58
2016;mat;74;8
2016;mat;0;60
2016;mat;56;43
2016;mat;0;66
2016;mat;17;57
2016;mat;0;60
2016;mat;53;30
2016;mat;88;20
2016;mat;23;191
2016;vor2;5;68
2016;vor2;96;2
2016;vor2;36;59
2016;vor2;19;57
2016;vor2;38;57
2016;vor2;15;78
2016;vor2;54;34
2016;vor2;41;18
2016;vor2;19;64
2016;vor2;39;53
2016;vor2;53;25
2016;vor2;44;39
2016;vor2;4;73
2016;vor2;36;47
2016;vor2;27;56
2016;vor2;5;60
2016;vor2;0;71
2016;vor2;3;69
2016;vor2;18;62
2016;vor2;49;55
2016;vor4;100;0
2016;vor4;100;40
2016;vor4;91;33
2016;vor4;79;8
2016;vor4;92;25
2016;vor4;93;39
2016;vor4;70;20
2016;vor4;100;39
2016;vor4;39;44
2016;vor4;34;0
2016;vor4;43;48
2016;vor4;100;25
2016;vor4;78;18
2016;vor4;5;78
2016;vor4;82;17
2016;vor4;97;5
2016;vor4;15;64
2016;vor4;27;42
2016;vor4;65;23
2016;vor4;100;7
2016;vor5;61;31
2016;vor5;25;27
2016;vor5;69;0
2016;vor5;99;0
2016;vor5;82;29
2016;vor5;78;22
2016;vor5;95;25
2016;vor5;96;19
2016;vor5;56;44
2016;vor5;80;25
2016;vor5;88;0
2016;vor5;100;0
2016;vor5;100;1
2016;vor5;64;50
2016;vor5;64;53
2016;vor5;99;3
2016;vor5;85;23
2016;vor5;23;66
2016;vor5;74;26
2016;vor5;25;71
2017;korg;2;57
2017;korg;9;77
2017;korg;36;37
2017;korg;84;24
2017;korg;35;1
2017;korg;30;7
2017;korg;73;33
2017;korg;18;4
2017;korg;0;4
2017;korg;57;18
2017;korg;81;2
2017;korg;42;9
2017;korg;80;2
2017;korg;0;3
2017;korg;45;0
2017;korg;57;42
2017;korg;30;72
2017;korg;54;19
2017;korg;32;21
2017;korg;13;39
2017;mat;7;51
2017;mat;47;41
2017;mat;29;66
2017;mat;43;52
2017;mat;27;48
2017;mat;87;14
2017;mat;34;53
2017;mat;41;30
2017;mat;20;52
2017;mat;33;43
2017;mat;8;79
2017;mat;13;69
2017;mat;47;44
2017;mat;96;4
2017;mat;57;19
2017;mat;11;58
2017;mat;4;82
2017;mat;1;67
2017;mat;17;48
2017;mat;96;7
2017;vor2;7;69
2017;vor2;3;70
2017;vor2;4;58
2017;vor2;16;63
2017;vor2;18;38
2017;vor2;29;50
2017;vor2;4;58
2017;vor2;20;22
2017;vor2;54;26
2017;vor2;40;37
2017;vor2;38;43
2017;vor2;2;25
2017;vor2;26;19
2017;vor2;39;35
2017;vor2;10;49
2017;vor2;3;37
2017;vor2;5;44
2017;vor2;2;39
2017;vor2;3;16
2017;vor2;16;44
2017;vor4;35;11
2017;vor4;31;38
2017;vor4;33;39
2017;vor4;32;40
2017;vor4;34;65
2017;vor4;49;39
2017;vor4;59;26
2017;vor4;35;63
2017;vor4;54;56
2017;vor4;73;19
2017;vor4;79;40
2017;vor4;76;47
2017;vor4;75;18
2017;vor4;52;61
2017;vor4;74;28
2017;vor4;36;42
2017;vor4;81;60
2017;vor4;85;33
2017;vor4;57;14
2017;vor5;56;34
2017;vor5;100;0
2017;vor5;88;2
2017;vor5;100;20
2017;vor5;93;12
2017;vor5;62;40
2017;vor5;82;10
2017;vor5;95;8
2017;vor5;93;2
2017;vor5;100;1
2017;vor5;100;2
2017;vor5;51;22
2017;vor5;70;31
2017;vor5;70;27
2017;vor5;46;34
2017;vor5;23;56
2017;vor5;86;21
2017;vor5;95;10
2017;vor5;5;73
2017;vor5;11;18
