"","BF1","BF2","BF3","BF4","BF5","BS1","BS2","BS3","BS4","BS5","FH1","FH2","FH3","FH4","FH5","F1","F2","F3","LD1","LD2","LD3","LH1","LH2","LH3","LH4","LH5","LH6","MV1","MV2","MV3","MV4","R1","R2","R3","R4","SO1","SO2","SO3"
"Ophiopleura.borealis",0,0,3,0,0,0,2,2,0,0,3,2,0,0,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,1,2,0
"Ophiura.robusta",0,0,6,0,0,0,4,4,0,0,2,2,4,2,0,2,4,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,2,4,0
"Ophiura.sarsii",0,0,6,0,0,0,0,4,2,0,2,0,2,4,0,2,4,0,6,0,0,6,0,0,0,0,0,0,0,4,2,0,6,0,0,4,4,0
"Ophiuroidea",0,0,6,0,0,2,2,4,2,0,4,2,4,4,0,2,4,0,6,0,0,6,0,0,0,0,0,0,0,4,2,0,6,0,0,4,4,0
"Opisthobranchia",4,2,2,0,2,0,4,2,0,0,2,0,0,4,0,0,4,2,4,2,0,6,0,0,0,0,0,0,2,4,2,0,0,4,2,4,2,0
"Orchomene.pinguis",0,0,0,3,0,3,0,0,0,0,0,0,2,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,3,1,2,0
"Orchomene.sp..",0,0,0,3,0,0,3,0,0,0,0,0,2,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,3,1,2,0
"Orchomenella.minuta",0,0,0,3,0,0,3,0,0,0,1,0,2,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0
"Pagurus.capillatus",0,0,4,0,4,0,0,4,2,0,4,0,4,0,0,0,2,4,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,4,2,0
"Pagurus.rathbuni",0,0,2,0,2,0,0,1,2,0,2,0,2,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,1,0
"Pagurus.sp.",0,0,4,0,4,0,0,4,2,0,4,0,4,0,0,0,2,4,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,4,2,0
"Pagurus.trigonocheirus",0,0,4,0,4,0,0,4,2,0,4,0,4,0,0,0,2,4,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,4,2,0
"Pandalina.sp..",0,0,0,3,0,0,2,2,0,0,0,0,1,2,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Pandalus.borealis",0,0,0,3,0,0,2,2,0,0,1,0,1,2,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2,1,0
"Pandalus.goniurus",0,0,0,6,0,0,4,4,0,0,0,0,0,6,0,2,4,0,6,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,6,4,2,0
"Pandora.glacialis",0,0,0,6,0,0,2,4,0,0,0,6,0,0,0,4,2,0,0,6,0,6,0,0,0,0,0,0,4,4,0,0,0,6,0,4,2,0
"Pannychia.moseleyi",NA,NA,NA,NA,NA,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paramphithoe.cuspidata",0,0,0,3,0,0,3,0,0,0,0,NA,NA,NA,NA,0,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,2,1,0
"Paramphithoe.polyacantha",0,0,0,6,0,0,4,2,0,0,0,NA,NA,NA,NA,0,6,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,4,2,0
"Paroediceros.lynceus",0,0,0,6,0,0,4,2,0,0,0,6,0,0,0,4,2,0,0,0,6,4,0,0,2,0,0,0,4,0,2,0,0,0,6,4,4,0
"Paroediceros.propinquus",NA,NA,NA,NA,NA,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelonaia.corrugata",0,6,0,0,0,0,0,4,2,0,0,6,0,0,0,0,2,4,0,0,6,6,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0
"Philine.sp..",2,0,0,0,1,0,2,1,0,0,0,0,1,2,0,0,3,0,0,3,0,3,0,0,0,0,0,0,1,2,0,0,1,2,0,3,0,0
"Photis.sp..",0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,1,0,2,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Phyllodoce.groenlandica",0,6,0,0,0,0,2,4,0,0,0,0,4,4,0,0,6,0,6,0,0,2,0,0,4,0,0,0,6,0,0,0,0,6,0,4,2,0
"Phyllodocidae",0,6,0,0,0,0,4,2,0,0,0,0,0,6,0,0,6,0,6,0,0,2,0,0,4,0,0,0,4,4,2,0,0,6,0,4,2,0
"Platyhelminthes",0,0,6,0,0,0,2,4,0,0,0,0,0,6,0,2,4,0,0,0,6,4,0,0,0,2,0,0,0,6,0,0,0,0,6,6,0,0
"Pleustes.cataphractus",0,0,0,3,0,0,3,0,0,0,1,0,1,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Pleustes.panopla",0,0,0,3,0,0,3,0,0,0,1,0,1,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Plicifusus.kroeyeri",2,0,0,0,4,0,0,4,4,0,0,0,0,6,0,0,4,4,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,6,0,4,2,0
"Plicifusus.sp..",1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Polymastia.sp.",0,0,4,0,2,0,0,2,4,0,0,6,0,0,0,0,4,2,0,6,0,0,0,0,0,0,6,6,0,0,0,2,0,4,0,0,0,6
"Polynoidae",0,4,2,0,0,0,2,4,0,0,2,0,2,4,0,2,4,0,4,0,2,4,0,2,2,2,0,0,4,4,2,0,4,2,4,4,2,0
"Pontoporeia.femorata",0,0,0,3,0,0,3,0,0,0,2,2,0,0,0,0,3,0,0,0,3,1,0,0,2,0,0,0,2,0,1,0,0,0,3,2,1,0
"Porifera",2,0,4,0,4,0,2,4,4,2,0,6,0,0,0,2,4,2,0,6,0,2,0,0,0,2,4,6,0,0,0,2,2,2,2,2,2,4
"Propebela.arctica",2,0,0,0,4,0,5,2,0,0,0,0,0,6,0,0,6,0,NA,NA,NA,6,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,2,4,0
"Propebela.nobilis",2,0,0,0,4,0,4,4,0,0,0,0,0,6,0,0,6,0,NA,NA,NA,6,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,2,4,0
"Propebela.sp..",1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,0,3,0,NA,NA,NA,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,1,2,0
"Protomedeia.grandimana",0,0,0,6,0,0,6,0,0,0,2,4,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,4,2,0,0,0,0,6,6,0,0
"Protomedia.sp.",0,0,0,3,0,0,3,0,0,0,1,2,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,3,3,0,0
"Pseudoliomesus.ooides",1,0,0,0,2,0,2,2,0,0,0,0,1,2,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,NA,NA,NA
"Psolus.peronii",4,2,0,0,0,0,0,0,6,0,4,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,2,4,0
"Psolus.phantapus",2,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,2,1,0,0,3,0,0,3,0,0
"Pteraster.jordani",0,0,3,0,0,0,0,0,3,0,1,0,2,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
"Pteraster.militaris",0,0,3,0,0,0,0,1,2,0,0,0,0,3,0,0,1,2,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
"Pteraster.obscurus",0,0,6,0,0,0,0,0,4,2,2,0,4,4,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0
"Pteraster.sp..",0,0,3,0,0,0,0,1,2,1,1,0,2,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
"Pycnogonidae",1,0,1,0,4,4,4,2,3,0,0,0,2,3,1,1,3,2,3,0,3,6,0,0,0,0,0,0,0,5,1,0,0,3,3,5,2,0
"Pyrulofusus.deformis",1,0,1,0,4,0,0,0,6,0,0,0,2,4,0,0,4,2,3,0,3,6,0,0,0,0,0,0,0,5,1,0,0,3,3,5,2,0
"Quasimelita.formosa",0,0,0,6,0,0,4,2,0,0,4,2,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0
"Quasimelita.quadrispinosa",0,0,0,3,0,0,3,0,0,0,2,2,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0
"Retifusus.sp..",1,0,0,0,2,0,1,2,0,0,0,0,1,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Rhachotropis.aculeata",0,0,0,6,0,0,2,4,0,0,0,0,0,6,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,4,2,0
"Rhachotropis.oculata",0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Rhegaster.tumidus",NA,NA,NA,NA,NA,0,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rozinante.fragilis",0,0,0,6,0,0,6,0,0,0,4,0,2,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0
"Sabinea.septemcarinata",0,0,4,2,0,0,0,4,2,0,0,0,0,6,0,0,4,2,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0
"Saduria.entomon",0,0,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,0
"Saduria.sabini",0,0,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0
"Saduria.sibirica",0,0,3,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
"Sclerocrangon.boreas",0,0,0,3,0,0,0,2,1,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
"Scoletoma.fragilis",3,0,0,0,0,0,1,2,0,0,2,0,0,2,0,NA,NA,NA,0,3,0,1,0,0,2,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA
"Scoletoma.sp..",3,0,0,0,0,0,1,2,0,0,2,0,0,2,0,NA,NA,NA,0,3,0,1,0,0,2,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA
"Semisuberites.cribrosa",0,0,0,0,6,0,2,4,0,0,0,6,0,0,0,0,4,2,0,6,0,0,0,0,0,0,6,6,0,0,0,NA,NA,NA,NA,0,0,6
"Serripes.groenlandicus",0,0,0,6,0,0,0,4,4,0,4,4,0,0,0,0,4,2,6,0,0,6,0,0,0,0,0,0,4,2,0,0,6,0,0,2,4,0
"Serripes.sp..",0,0,0,3,0,0,2,1,0,0,2,2,0,0,0,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,3,0,0,1,2,0
"Sertularia.sp...Thuiaria.sp.",0,0,0,0,3,2,2,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,2,1,3,0,0,0,1,2,0,0,0,0,3
"Similipecten.greenlandicus",0,0,3,0,0,0,2,1,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1,0
"Socarnes.bidenticulatus",0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,6,2,4,0
"Solariella.obscura",2,0,0,0,1,0,3,0,0,0,1,0,0,2,0,1,2,0,NA,NA,NA,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,1,2,0
"Solaster.sp.",NA,NA,NA,NA,NA,0,0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spinther.sp..",0,0,3,0,0,0,2,1,0,0,0,0,0,1,2,1,2,0,NA,NA,NA,0,0,0,0,3,0,0,0,3,0,NA,NA,NA,NA,3,0,0
"Spirontocaris.sp.",0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,4,2,6,0,0,6,0,0,0,0,0,0,0,4,4,0,0,0,6,4,2,0
"Stegocephalus.ampulla",1,0,0,2,0,0,2,1,0,0,0,2,2,2,0,0,2,2,0,0,3,2,0,0,0,1,0,0,0,0,3,0,0,0,3,2,1,0
"Stegocephalus.inflatus",2,0,0,4,0,0,0,4,2,0,0,4,4,4,0,0,4,4,0,0,6,4,0,0,0,2,0,0,0,0,6,0,0,0,6,4,2,0
"Stegocephalus.sp.",2,0,0,4,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,0,6,4,0,0,0,2,0,0,0,0,6,0,0,0,6,4,2,0
"Stegophiura.nodosa",0,0,6,0,0,0,4,4,0,0,0,0,0,6,0,2,4,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,6,4,2,0
"Stenosemus.albus",0,0,6,0,0,0,6,0,0,0,6,0,0,0,0,0,4,2,0,6,0,4,0,0,0,2,0,0,0,6,0,0,6,0,0,6,0,0
"Stomphia.sp.",2,0,0,0,4,0,0,0,6,0,0,0,0,6,0,0,2,4,4,4,0,2,0,0,0,0,4,4,0,2,2,0,6,0,0,4,2,0
"Strongylocentrotus.pallidus",6,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0
"Styela.rustica",0,0,0,0,6,0,0,2,4,0,0,6,0,0,0,0,4,2,0,6,0,0,0,0,0,4,4,6,0,0,0,0,6,0,0,0,6,0
"Styela.sp.",0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,0,3,0
"Suberites.sp..",0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0,1,2,0,3,0,2,0,0,0,1,1,3,0,0,0,1,0,2,0,0,0,3
"Syllis.armillaris",0,3,0,0,0,2,2,0,0,0,1,0,0,2,0,1,2,0,3,0,0,3,0,0,0,0,0,0,2,1,0,0,3,0,0,3,0,0
"Synidotea.bicuspida",2,0,4,0,0,0,2,4,0,0,2,4,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0
"Synidotea.sp.",1,0,2,0,0,0,2,2,0,0,1,2,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
"Syrrhoe.crenulata",0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,NA,NA,NA,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Tachyrhynchus.erosus",0,0,0,0,6,0,2,4,0,0,0,0,2,4,0,0,4,2,6,0,0,6,0,0,0,0,0,0,2,4,0,0,6,0,0,2,4,0
"Tachyrhynchus.sp..",0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,1,2,0,0,3,0,0,1,2,0
"Tanaidacea",0,0,0,3,0,0,3,0,0,0,2,0,0,1,0,0,3,0,0,0,3,1,1,1,1,0,0,0,2,1,0,0,0,0,3,3,0,0
"Tecticeps.sp..",0,0,3,0,0,1,2,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
"Telmessus.cheiragonus",0,0,2,0,2,0,1,0,2,0,0,0,0,2,0,0,0,3,0,0,3,2,0,0,1,0,0,0,0,3,0,0,0,0,3,3,0,0
"Tmetonyx.cicada",0,0,3,0,0,0,3,0,0,0,2,0,3,1,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0,0,3,2,1,0
"Trichotropis.sp..",2,0,0,0,1,1,2,0,0,0,0,2,0,0,1,0,2,1,2,0,1,2,0,0,0,2,0,0,0,3,0,0,0,3,0,3,0,0
"Triopha",2,1,1,0,1,0,3,0,0,0,1,0,0,2,0,0,2,1,3,0,0,3,0,0,0,0,0,0,1,2,1,0,0,3,0,2,1,0
"Tritonia.sp.",4,2,0,0,0,0,0,4,2,2,0,0,0,6,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0
"Tubularia.sp.",0,0,0,0,5,0,2,1,0,0,0,1,0,2,0,0,3,0,0,2,1,0,0,0,0,2,1,3,0,0,0,1,0,0,2,1,2,0
"Unciola.leucopsis",0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,NA,NA,NA,0,0,3,0,0,3,0,0,0,0,2,0,2,0,0,0,3,3,0,0
"Urasterias.lincki",3,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,3,0,0
"Urticina.sp.",2,0,0,0,4,0,0,0,6,0,0,0,0,6,0,0,2,4,0,6,0,4,0,0,0,0,4,4,0,2,0,0,4,0,4,4,2,0
"Velutina.coriacea",4,0,0,0,2,0,6,0,0,0,0,0,0,6,0,2,4,0,6,0,0,4,0,0,0,2,0,0,0,6,0,0,0,6,0,4,2,0
"Velutina.laevigata",2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Velutina.sp.",4,0,0,0,2,0,4,2,0,0,0,0,0,6,0,1,5,0,6,0,3,4,0,0,0,2,0,0,0,6,0,0,0,6,0,4,2,0
"Velutina.velutina",4,0,0,0,2,0,4,2,0,0,0,0,0,6,0,1,5,0,6,0,3,4,0,0,0,2,0,0,0,6,0,0,0,6,0,4,2,0
"Volutopsius.sp..",2,0,0,0,2,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Vulcanella.sp...",3,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3
"Weyprechtia.heuglini",0,0,0,3,0,0,2,1,0,0,0,2,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Weyprechtia.pinguis",0,0,0,3,0,0,2,1,0,0,1,1,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
"Zoanthidea",0,0,0,0,3,0,3,0,0,0,0,1,0,2,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,2,1,0,0,1,0,3
