Year,Calanus_N,Pseudocalanus_N,Acartia_N,Centropages_N,Oithona_N,Temora_N,Microsetella_N
1961,332,2901,62,43,1793,126,706
1962,25,1861,16,37,1531,59,802
1963,13,1407,51,12,1340,87,95
1964,251,3248,61,50,2776,73,946
1965,235,3086,70,33,884,38,49
1966,25,1636,58,10,1163,4,38
1967,84,4933,140,33,1468,14,15
1968,85,2054,70,14,854,14,34
1969,23,2735,8,10,923,1,4
1970,69,1117,50,19,1173,4,26
1971,110,1837,45,15,1117,35,21
1972,18,792,13,19,575,14,8
1973,72,2915,68,12,1088,5,38
1974,30,1818,69,5,1518,59,75
1975,110,2668,101,25,718,45,51
1976,48,5026,134,4,1868,11,61
1977,234,2723,62,9,1625,8,15
1978,108,2172,44,47,1600,35,19
1979,246,4885,41,22,1186,3,13
1980,31,935,47,9,997,30,107
1981,278,3482,101,6,2719,46,73
1982,410,4065,30,5,1080,12,104
1983,65,4181,104,9,2048,13,123
1984,183,3101,31,11,1108,22,60
1985,243,3484,25,43,1522,107,81
1986,280,3887,70,233,2080,78,82
1987,221,4152,29,13,1417,28,70
1988,236,4646,33,119,833,25,12
1989,475,4428,53,92,2646,63,36
1990,371,7159,37,12,1447,62,58
1991,262,4103,19,18,995,32,14
1992,329,4372,22,56,1265,17,31
1993,260,3791,29,65,834,33,56
1994,277,3706,8,44,881,99,11
1995,581,4411,36,29,2789,34,240
1996,487,3411,12,4,1165,7,23
1997,394,7861,44,20,1664,23,79
1998,135,4217,14,24,834,86,80
1999,49,3350,27,43,2131,15,251
2000,233,2676,12,94,2231,102,247
2001,243,3236,52,22,1124,22,206
2002,327,4281,32,25,1655,16,35
2003,238,2869,16,76,1228,60,92
2004,157,3703,1,11,1424,16,24
2005,247,2805,3,37,522,77,38
2006,273,1882,14,41,414,27,97
2007,241,4374,35,14,2191,34,269
2008,560,6238,1,57,1252,287,268
2009,249,2118,23,155,1344,59,140
2010,41,1525,12,3,649,4,142
2011,128,1848,5,43,694,155,393
2012,217,6075,12,46,1126,67,124
2013,426,3364,77,346,1886,413,681
2014,130,2180,38,48,940,230,584
2015,25,1390,20,76,576,18,269
2016,164,4942,26,11,1627,100,152
2017,631,3170,77,17,673,46,27
2018,173,3537,53,14,806,7,31